Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4647.9 at 2011-07-01T16:43:10. Report at Friday, July 1, 2011. Processed Saturday at 2011-07-02T01:00:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $21.95,
ANZVZB,22.00,28/07/11,4:1,.14,.155,,,,,
ANZVZA,22.50,28/07/11,4:1,.092,.10,,,,,
ANZWOJ,23.00,28/07/11,4:1,.067,.072,.077,,,,
ANZWME,24.00,28/07/11,4:1,.015,,,,,,
ANZWOK,25.00,28/07/11,4:1,.016,.021,.145,,,,
ANZWOL,27.00,28/07/11,4:1,.011,.016,,,,,
ANZVOA,21.50,25/08/11,4:1,.335,.34,.365,,,,
ANZVZC,22.00,25/08/11,4:1,.34,.355,,,,,
ANZVZD,23.00,25/08/11,4:1,.24,.25,,,,,
ANZVOB,23.50,25/08/11,4:1,.11,.115,.11,,,,
ANZWMB,24.00,25/08/11,4:1,.067,.078,.061,,,,
ANZVOC,25.50,25/08/11,4:1,.024,.029,,,,,
ANZVOD,22.00,29/09/11,4:1,.35,.355,.355,-2.5,110,,
ANZWMC,23.00,29/09/11,4:1,.22,.235,.235,+2.5,53,,
ANZVOE,24.00,29/09/11,4:1,.14,.145,,,,,
ANZWMD,25.00,29/09/11,4:1,.068,.076,,,,,
ANZVOF,26.00,29/09/11,4:1,.041,.046,,,,,
,
Alumina Last Sale Price $2.16,
AWCWMA,2.25,29/09/11,1:1,.17,.165,,,,,
AWCWMC,2.50,29/09/11,1:1,.081,.087,,,,,
,
BHP Billiton Last Sale Price $43.77,
BHPVOB,42.50,28/07/11,4:1,.585,.59,.425,,,,
BHPWZD,43.00,28/07/11,4:1,.425,.425,,,,,
BHPVOC,44.50,28/07/11,4:1,.30,.305,.18,,,,
BHPWZC,45.00,28/07/11,4:1,.17,.18,.13,,,,
BHPVOD,46.50,28/07/11,4:1,.13,.135,,,,,
BHPWMF,48.00,28/07/11,4:1,.043,.051,.047,-.3,420,,
BHPVOE,48.50,28/07/11,4:1,.055,.06,,,,,
BHPWZE,43.00,25/08/11,4:1,.815,.815,,,,,
BHPWZF,45.00,25/08/11,4:1,.58,.58,,,,,
BHPWOI,46.00,25/08/11,4:1,.315,.32,.325,+1,70,,
BHPWMG,48.00,25/08/11,4:1,.135,.15,.155,+2,100,,
BHPWOJ,48.00,25/08/11,4:1,.185,.19,.17,,,,
BHPWOK,50.00,25/08/11,4:1,.088,.093,.115,,,,
BHPWOL,52.00,25/08/11,4:1,.031,.036,.048,,,,
BHPVOI,42.50,29/09/11,4:1,.89,.895,.895,+4,100,,
BHPVOF,44.50,29/09/11,4:1,.595,.60,.62,+2.5,78,,
BHPWMH,46.00,29/09/11,4:1,.39,.415,.405,,,,
BHPVOG,46.50,29/09/11,4:1,.385,.39,,,,,
BHPVOH,48.50,29/09/11,4:1,.235,.24,,,,,
BHPWMI,49.00,29/09/11,4:1,.175,.19,.21,,,,
BHPWMJ,52.00,29/09/11,4:1,.074,.082,,,,,
BHPWMK,54.00,29/09/11,4:1,.038,.044,.13,,,,
,
BlueScope Steel Last Sale Price $1.24,
BSLVZA,1.20,28/07/11,2:1,.051,.052,,,,,
BSLVZB,1.30,28/07/11,2:1,.028,.04,,,,,
BSLVZC,1.20,25/08/11,2:1,.069,.07,.059,,,,
BSLWOG,1.90,25/08/11,2:1,.006,.011,.021,,,,
BSLWOH,2.25,25/08/11,2:1,.011,.016,,,,,
,
C'wlth Bank of Aust Last Sale Price $51.92,
CBAWOG,50.00,28/07/11,5:1,.565,.57,.56,,,,
CBAVZN,52.00,28/07/11,4:1,.32,.335,,,,,
CBAVZO,53.00,28/07/11,4:1,.21,.225,,,,,
CBAWOH,53.00,28/07/11,5:1,.22,.225,.19,,,,
CBAWME,54.00,28/07/11,4:1,.125,.145,.115,,,,
CBAWOI,56.00,28/07/11,5:1,.064,.069,.115,,,,
CBAVOA,50.00,25/08/11,5:1,.475,.48,.475,,,,
CBAWZA,51.50,25/08/11,4:1,.67,.685,,,,,
CBAWZB,52.50,25/08/11,4:1,.57,.585,,,,,
CBAVOB,53.00,25/08/11,5:1,.205,.21,.24,,,,
CBAWMF,54.00,25/08/11,4:1,.155,.175,.14,,,,
CBAVOC,56.00,25/08/11,5:1,.071,.076,,,,,
CBAVOD,50.00,29/09/11,5:1,.62,.625,.635,+17,600,,
CBAVOE,53.00,29/09/11,5:1,.335,.34,,,,,
CBAWMC,54.00,29/09/11,4:1,.31,.33,.32,,,,
CBAVOF,56.00,29/09/11,5:1,.155,.16,,,,,
CBAWMD,56.00,29/09/11,4:1,.175,.185,.175,,,,
,
Fortescue Metals Grp Last Sale Price $6.39,
FMGVOA,6.00,28/07/11,3:1,.195,.20,,,,,
FMGVZE,6.25,28/07/11,2:1,.17,.175,,,,,
FMGVZG,6.50,28/07/11,2:1,.105,.115,,,,,
FMGWME,6.50,28/07/11,1:1,.225,.23,.105,,,,
FMGVZF,6.75,28/07/11,2:1,.064,.067,,,,,
FMGVOB,7.00,28/07/11,3:1,.04,.045,,,,,
FMGVZI,6.25,25/08/11,2:1,.24,.245,,,,,
FMGVZJ,6.50,25/08/11,2:1,.18,.185,,,,,
FMGWMF,6.50,25/08/11,1:1,.37,.385,,,,,
FMGWOE,6.50,25/08/11,3:1,.155,.16,,,,,
FMGVZK,6.75,25/08/11,2:1,.13,.135,,,,,
FMGWOF,7.50,25/08/11,3:1,.045,.05,.059,,,,
FMGVOC,6.00,29/09/11,3:1,.28,.285,,,,,
FMGWMC,6.50,29/09/11,1:1,.49,.505,.345,,,,
FMGVOD,7.00,29/09/11,3:1,.125,.13,.16,,,,
FMGWMD,7.00,29/09/11,1:1,.29,.305,,,,,
,
Incitec Pivot Last Sale Price $3.85,
IPLWMA,4.00,29/09/11,1:1,.255,.265,,,,,
IPLWMD,4.25,29/09/11,1:1,.16,.17,,,,,
,
Macquarie Grp Last Sale Price $31.13,
MQGWZE,32.00,28/07/11,4:1,.175,.175,,,,,
MQGWOF,35.00,28/07/11,6:1,.046,.051,.042,,,,
MQGWZF,35.00,28/07/11,4:1,.019,.04,.11,,,,
MQGWOG,38.00,28/07/11,6:1,.015,.02,.17,,,,
MQGWOL,41.00,28/07/11,6:1,,,.079,,,,
MQGVZG,32.00,25/08/11,4:1,.41,.415,,,,,
MQGVZH,33.00,25/08/11,4:1,.315,.32,,,,,
MQGVOA,33.50,25/08/11,4:1,.27,.275,,,,,
MQGVOB,36.50,25/08/11,4:1,.093,.098,,,,,
MQGVOC,39.50,25/08/11,4:1,.027,.032,.074,,,,
MQGVOD,33.50,29/09/11,4:1,.41,.415,.69,,,,
MQGVOE,36.50,29/09/11,4:1,.195,.20,.27,,,,
MQGVOF,39.50,29/09/11,4:1,.079,.084,,,,,
,
